"Color","Category","Size","Currency","Value","Price","Vintage","Wine","Locale","Producer","Varietal"
"White","Dry","750ml","USD","137.1825","0","2022","Didier Dagueneau Pur Sang","France, Loire Valley, Vin de France","Didier Dagueneau","Sauvignon Blanc"
"White","Dry","750ml","USD","187.5424","0","2022","Didier Dagueneau Silex","France, Loire Valley, Vin de France","Didier Dagueneau","Sauvignon Blanc"
"White","Dry","750ml","USD","188.009","0","2019","Didier Dagueneau Silex","France, Loire Valley, Vin de France","Didier Dagueneau","Sauvignon Blanc"
"Red","Dry","750ml","USD","55.914","0","2018","Weingut Dautel Oberstenfelder Forstberg Spätburgunder Großes Gewächs","Germany, Württemberg","Weingut Dautel","Spätburgunder"
"White","Dry","750ml","USD","67.5094","0","2020","Dönnhoff Felsenberg Riesling Großes Gewächs","Germany, Nahe","Dönnhoff","Riesling"
"White","Dry","750ml","USD","54.6724","0","2022","Dönnhoff Niederhäuser Hermannshöhle Riesling Spätlese","Germany, Nahe","Dönnhoff","Riesling"
"White","Sparkling","750ml","USD","125.0654","0","1001","Egly-Ouriet Champagne Grand Cru Extra Brut","France, Champagne, Champagne Grand Cru","Egly-Ouriet","Champagne Blend"
"Rosé","Sparkling","750ml","USD","149.0566","0","1001","Egly-Ouriet Champagne Grand Cru Extra-Brut Rosé","France, Champagne, Champagne Grand Cru","Egly-Ouriet","Champagne Blend"
"Red","Dry","750ml","USD","138.8681","0","2019","Faiveley Chambolle-Musigny 1er Cru Les Charmes","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Faiveley","Pinot Noir"
"Red","Dry","750ml","USD","282.2395","0","2020","Faiveley Echezeaux En Orveaux","France, Burgundy, Côte de Nuits, Echezeaux Grand Cru","Faiveley","Pinot Noir"
"Red","Dry","750ml","USD","140.3943","0","2020","Faiveley Gevrey-Chambertin 1er Cru Clos des Issarts","France, Burgundy, Côte de Nuits, Gevrey-Chambertin 1er Cru","Faiveley","Pinot Noir"
"Red","Dry","750ml","USD","88.1537","0","2019","Ferrer Bobet Priorat Selecció Especial Vinyes Velles","Spain, Catalunya, Priorat","Ferrer Bobet","Carignan Blend"
"Red","Dry","750ml","USD","43.0546","0","2023","Jean Foillard Morgon Côte du Py","France, Burgundy, Beaujolais, Morgon","Jean Foillard","Gamay"
"White","Dry","750ml","USD","134.1445","0","2020","Jean-François Ganevat Savagnin Antide","France, Jura, Côtes du Jura","Jean-François Ganevat","Savagnin"
"Red","Dry","750ml","USD","112.0994","0","2022","Domaine Ghislaine Barthod Chambolle-Musigny","France, Burgundy, Côte de Nuits, Chambolle-Musigny","Domaine Ghislaine Barthod","Pinot Noir"
"Red","Dry","750ml","USD","128.3293","0","2020","Giulia Negri Barolo Marassio","Italy, Piedmont, Langhe, Barolo","Giulia Negri","Nebbiolo"
"Red","Dry","750ml","USD","172.3346","0","2009","Domaine Jean Grivot Nuits-Saint-Georges 1er Cru Aux Boudots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Domaine Jean Grivot","Pinot Noir"
"White","Dry","750ml","USD","95.5702","0","2018","Domaine Guiberteau Saumur Blanc Clos des Carmes Brézé","France, Loire Valley, Anjou-Saumur, Saumur","Domaine Guiberteau","Chenin Blanc"
"White","Dry","750ml","USD","61.163","0","2022","Domaine Guiberteau Saumur Blanc Le Bourg Brézé","France, Loire Valley, Anjou-Saumur, Saumur","Domaine Guiberteau","Chenin Blanc"
"White","Sparkling","750ml","USD","192.6024","0","2013","Henriot Champagne Cuvée Hemera","France, Champagne","Henriot","Champagne Blend"
"Red","Dry","750ml","USD","73.9637","0","2022","J. G. Benda Rosso di Montalcino","Italy, Tuscany, Montalcino, Rosso di Montalcino","J. G. Benda","Sangiovese"
"White","Dry","750ml","USD","184.6323","205","2022","Domaine Rémi Jobard Meursault 1er Cru Charmes","France, Burgundy, Côte de Beaune, Meursault 1er Cru","Domaine Rémi Jobard","Chardonnay"
"White","Dry","750ml","USD","189.1745","207","2022","Domaine Rémi Jobard Meursault 1er Cru Les Genevrières","France, Burgundy, Côte de Beaune, Meursault 1er Cru","Domaine Rémi Jobard","Chardonnay"
"White","Dry","750ml","USD","117.055","0","2021","Nicolas Joly Clos de la Coulée de Serrant","France, Loire Valley, Anjou-Saumur, Savennières-Coulée de Serrant","Nicolas Joly","Chenin Blanc"
"Red","Dry","750ml","USD","87.5804","0","2022","Kobayashi Winery Cabernet Franc","USA, Washington, Columbia Valley","Kobayashi Winery","Cabernet Franc"
"Red","Dry","750ml","USD","86.023","0","2023","Kobayashi Winery Syrah Sans Soufre WeatherEye Vineyard","USA, Washington, Columbia Valley, Red Mountain","Kobayashi Winery","Syrah"
"Red","Dry","750ml","USD","86.7559","0","2022","Kobayashi Winery Syrah WeatherEye Vineyard","USA, Washington, Columbia Valley, Red Mountain","Kobayashi Winery","Syrah"
"Red","Dry","750ml","USD","110.5108","0","2021","Kosta Browne Beaune 1er Cru","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Kosta Browne","Pinot Noir"
"Red","Dry","750ml","USD","108.2024","0","2021","Kosta Browne Pommard","France, Burgundy, Côte de Beaune, Pommard","Kosta Browne","Pinot Noir"
"Red","Dry","750ml","USD","42.9849","0","2024","Marcel Lapierre Morgon","France, Burgundy, Beaujolais, Morgon","Marcel Lapierre","Gamay"
"White","Dry","750ml","USD","89.4479","0","2022","Domaine Larue Puligny-Montrachet 1er Cru Sous le Puits","France, Burgundy, Côte de Beaune, Puligny-Montrachet 1er Cru","Domaine Larue","Chardonnay"
"White","Dry","750ml","USD","56.336","0","2020","Domaine Larue Saint-Aubin 1er Cru Les Murgers des Dents de Chien Blanc","France, Burgundy, Côte de Beaune, Saint-Aubin 1er Cru","Domaine Larue","Chardonnay"
